Company,Industry,Website,Why_Selected,Verification_Source,Notes
NewSpace Research & Technologies,Aerospace / Defense Drones,https://www.newspace.co.in,"Builds long-endurance drones and high-altitude pseudo satellites (HAPS) for defence and disaster-response applications.","Company website; aerospace/defence coverage","Founder-led aerospace R&D organisation with strong focus on systems engineering, autonomous platforms and government projects."
Astrogate Labs,Space Tech / Laser Communications,https://astrogatelabs.com,"Develops laser communication systems for high-speed satellite communication and space networking.","Company website; startup directories","Highly technical Bengaluru startup combining optics, communication systems and aerospace engineering."
Sarla Aviation,Aerospace / eVTOL,https://sarla-aviation.com,"Develops electric air taxi (eVTOL) systems and urban air mobility platforms from Bengaluru.","Company communications; aviation media","Early-stage but highly engineering-intensive aerospace startup focused on electric aviation systems and prototype testing."
Stellapps Technologies,AgriTech / IoT / Dairy,https://www.stellapps.com,"Builds IoT and analytics platforms for dairy supply-chain optimisation, including sensors, automation and cold-chain systems.","Company website; agri-tech media","Strong systems-oriented business integrating hardware, software and analytics into traditional dairy operations."
Strand Life Sciences,Biotech / Genomics,https://strandls.com,"Provides genomics, diagnostics and bioinformatics platforms through Bengaluru-based labs and research systems.","Company website; scientific references","IISc-linked company integrating genomics workflows, software systems and clinical diagnostics into productised platforms."
Astrome Technologies,Space / Telecom (mmWave),https://astrome.co,"Builds millimetre-wave radios and satellite communication systems for high-speed broadband connectivity.","Company website; telecom media","Deeptech telecom startup with patented mmWave technologies and strong hardware plus systems-engineering focus."
Qualitas Technologies,Industrial AI / Quality Control,https://qualitastech.com,"Develops AI-based machine-vision systems for automated industrial quality inspection and manufacturing analytics.","Company website; industrial directories","Bengaluru company specialising in computer vision and industrial inspection systems for factories and manufacturing lines."
CynLr,Robotics / Industrial Automation,https://www.cynlr.com,"Develops visual intelligence platforms enabling industrial robots to identify and manipulate unknown objects in dynamic environments.","Company website; robotics media","Founder-led robotics company focused on advanced vision systems, industrial AI and repeatable automation frameworks."
Ati Motors,Autonomous Mobile Robots (AMRs),https://www.atimotors.com,"Builds autonomous mobile robots for material movement inside factories and warehouses.","Company website; robotics media","Bengaluru AMR startup with strong navigation, fleet management and industrial deployment capabilities."
Chara Technologies,EV Motors / Powertrain Tech,https://www.chara.co.in,"Develops rare-earth-free electric motors and intelligent motor-control systems for EVs and industrial applications.","Company website; EV/electronics coverage","Deeptech powertrain company focused on indigenous motor technologies and systems-level optimisation."
Ethereal Machines,Advanced Manufacturing / CNC,https://etherealmachines.com,"Designs advanced CNC machining systems and precision-manufacturing platforms for aerospace, healthcare and electronics.","Company website; manufacturing media","Engineering-driven manufacturing startup building its own multi-axis CNC systems while also operating precision manufacturing workflows."
Zentron Labs,Machine Vision / Industrial Automation,https://zentronlabs.com,"Builds machine-vision inspection and measurement systems for manufacturing automation and industrial metrology.","Company website; startup directories","Computer-vision-focused engineering team building automation and quality-control systems for industrial environments."
ANSCER Robotics,Warehouse Robotics / AMRs,https://www.anscer.com,"Designs and manufactures autonomous mobile robots for warehouse and factory logistics automation.","Company website; robotics directories","Bengaluru robotics startup with scalable AMR platforms for e-commerce, FMCG and manufacturing operations."
SwitchOn,Industrial AI / Visual Inspection,https://switchon.io,"Develops AI-powered visual inspection systems for defect detection and industrial quality automation.","Company website; industrial AI media","Combines industrial IoT and computer vision for high-speed quality inspection and zero-defect manufacturing initiatives."
Redwing Aerospace Labs,Medical Drone Logistics / Aerospace,https://www.redwinglabs.in,"Builds autonomous drone logistics systems for delivering medicines, vaccines and blood to remote areas.","Company website; aerospace and medtech coverage","Mission-driven aerospace startup operating safety- and operations-intensive medical drone systems in difficult terrains."
